source,exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
config-xor-bad-2-missing-results,23,,,timeout,1,VORONOI,153,2,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,24,,,timeout,1,VORONOI,153,10,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,25,0.9950846531949754,0.6859639541234298,1.5647,1,VORONOI,153,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,26,,,timeout,1,VORONOI,153,2,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,27,,,timeout,1,VORONOI,153,10,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,28,0.9950846531949754,0.6859639541234298,1.1196,1,VORONOI,153,1,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,29,,,timeout,1,VORONOI,153,2,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,30,,,timeout,1,VORONOI,153,10,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-results,1,0.9950846531949754,0.8596395412342982,0.1818,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
config-xor-bad-2-results,2,0.9950846531949754,0.8694702348443474,0.3253,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
config-xor-bad-2-results,3,unsat,unsat,0.3138,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
config-xor-bad-2-results,4,0.9950846531949754,0.6859639541234298,0.2231,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
config-xor-bad-2-results,5,0.9950846531949754,0.6963407973784818,0.4811,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
config-xor-bad-2-results,6,unsat,unsat,0.2776,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
config-xor-bad-2-results,7,0.9950846531949754,0.6859639541234298,0.1318,1,SAMPLES,450,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
config-xor-bad-2-results,8,0.9950846531949754,0.9860731840524304,0.7616,1,SAMPLES,450,250,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
config-xor-bad-2-results,9,0.9950846531949754,0.977607864554888,48.5508,1,SAMPLES,450,400,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
config-xor-bad-2-results,10,0.9950846531949754,0.8623702894593118,0.1597,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
config-xor-bad-2-results,11,0.9950846531949754,0.8694702348443474,0.3382,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
config-xor-bad-2-results,12,unsat,unsat,0.3008,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
config-xor-bad-2-results,13,0.9950846531949754,0.6859639541234298,0.2021,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
config-xor-bad-2-results,14,0.9950846531949754,0.6963407973784818,0.4735,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
config-xor-bad-2-results,15,unsat,unsat,0.3166,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
config-xor-bad-2-results,16,0.9950846531949754,0.7001638448935008,0.2827,1,SAMPLES,450,1,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
