exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
100,0.9950846531949754,0.9636810486073184,3.2524,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[2, 1]]}",
101,0.9950846531949754,0.9636810486073184,3.198,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[2, 1]]}",
102,unsat,unsat,1.7734,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[2, 1]]}",
103,unsat,unsat,0.4379,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
104,unsat,unsat,0.434,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
105,unsat,unsat,0.4339,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
106,unsat,unsat,1.0668,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
107,unsat,unsat,1.0464,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
108,unsat,unsat,0.6251,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
109,unsat,unsat,0.4532,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
110,unsat,unsat,0.4372,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
111,unsat,unsat,0.4312,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
112,unsat,unsat,1.0103,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
113,unsat,unsat,1.0313,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
114,unsat,unsat,0.6218,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
115,0.9950846531949754,0.6843255051884216,0.4555,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 3]]}",
116,0.9950846531949754,0.6843255051884216,0.4764,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 2, 3]]}",
117,0.9950846531949754,0.6843255051884216,0.4602,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 2, 3]]}",
118,0.9950846531949754,0.9249044238121246,1.3921,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 2, 3]]}",
119,unsat,unsat,1.0326,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 2, 3]]}",
120,unsat,unsat,0.4137,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 2, 3]]}",
121,unsat,unsat,0.4334,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 4]]}",
122,unsat,unsat,0.4485,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 2, 4]]}",
123,unsat,unsat,0.4423,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 2, 4]]}",
124,unsat,unsat,1.1039,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 2, 4]]}",
125,unsat,unsat,1.1057,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 2, 4]]}",
126,unsat,unsat,0.4114,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 2, 4]]}",
127,0.9950846531949754,0.9636810486073184,12.2786,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[2, 2]]}",
128,0.9950846531949754,0.9636810486073184,3.2285,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[2, 2]]}",
129,0.9950846531949754,0.9636810486073184,3.256,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[2, 2]]}",
130,0.9950846531949754,0.9636810486073184,3.2413,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[2, 2]]}",
131,0.9950846531949754,0.9636810486073184,4.5428,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[2, 2]]}",
132,unsat,unsat,1.8617,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[2, 2]]}",
