exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
68,0.9950846531949754,0.375204806116876,8.0442,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_68/config.json,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[1, 4]]}",
69,unsat,unsat,3.8383,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_69/config.json,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[1, 4]]}",
70,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_70/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_bias': [[1, 4]]}",
71,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_71/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_bias': [[1, 4]]}",
72,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_72/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_bias': [[1, 4]]}",
73,unsat,unsat,0.4513,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_73/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
74,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_74/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 1, 1]]}",
75,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_75/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[2, 1, 1]]}",
76,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_76/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[2, 1, 1]]}",
77,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_77/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[2, 1, 1]]}",
78,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_78/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[2, 1, 1]]}",
79,unsat,unsat,0.4706,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_79/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
80,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_80/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 1, 2]]}",
81,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_81/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[2, 1, 2]]}",
